,Jul
1224,1.4101900446653306
1225,2.32870928960835
1226,2.657529985485364
1227,3.044290420281208
1228,3.359874982519436
1229,3.3330762929662066
1230,3.2886585805608237
1231,3.2016908146458563
1232,3.240181885467659
1233,3.052863236835415
1234,2.2984275455814247
1235,2.5966721018785557
1236,3.074598099965306
1237,3.45336833195016
1238,3.8466098504731727
1239,4.153910575785599
1240,4.266650761986567
1241,4.228599005370451
1242,4.126134996587672
1243,4.1882348226790125
1244,3.728674509628652
1245,3.385378672201772
1246,4.16743399190823
1247,5.156918263082211
1248,6.244030748113133
1249,7.593164764564035
1250,8.374879090571635
1251,8.828354375133873
1252,8.254827916031752
1253,8.547080363293789
1254,9.63449169123328
1255,10.893719198057477
1256,12.296034424032186
1257,13.646879706801695
1258,12.018981838106964
1259,12.096419113041367
1260,12.167865942086213
1261,12.315523164918144
1262,12.366160134014416
1263,12.817708977837567
1264,13.390094511748536
1265,12.804502102340102
1266,12.101054899712079
1267,11.847065606995223
1268,12.685944248169776
1269,13.427442765421718
1270,12.694172866226062
1271,12.15039039202501
1272,12.388624501020088
1273,12.138208926457978
1274,11.704853996707714
1275,11.577583615854472
1276,12.10888335575503
1277,13.070927438343492
1278,13.562101479034201
1279,13.188956724669655
1280,13.175453084248838
1281,13.176922887693037
1282,11.629663643442488
1283,12.748766291433883
1284,13.727075090905627
1285,14.066188259188987
1286,14.06565686617489
1287,14.005699338986238
1288,14.081901546489915
1289,14.177493745470143
1290,14.268381396282976
1291,14.301628939449998
1292,14.352978446291935
1293,14.350298928854302
1294,13.482044296057321
1295,14.502000864230364
1296,15.139118579496632
1297,15.514951558553832
1298,16.011797161658677
1299,16.255873578961577
1300,16.344154780328527
1301,16.289025165623165
1302,16.037192568205494
1303,15.6781665962484
1304,15.019670880993923
1305,14.409287274571634
1306,14.004788178185057
1307,13.836123330591002
1308,13.766002207448178
1309,13.509812354353997
1310,13.313518805533388
1311,13.255863029652547
1312,13.064326086493978
1313,12.828510685672706
1314,12.57582302006438
1315,12.6322967464693
1316,12.698362928594474
1317,12.32648835286011
1318,11.18951719681806
1319,11.226604092875494
1320,11.801238926247784
1321,12.329916659827703
1322,12.443240166405888
1323,12.330053388350256
1324,11.96883841189336
1325,11.502974119200992
1326,11.117750419662649
1327,10.91378690641536
1328,10.94139935471046
1329,10.990455884744911
1330,10.097561665863735
1331,9.553541278828517
1332,8.863168279259416
1333,8.329025029848879
1334,7.637939175759807
1335,6.707160225265691
1336,6.085023788288362
1337,5.792444651446046
1338,5.030084756940813
1339,4.323912938636348
